nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV      Tc/K
288  0.296296 -0.000471  0.099536  0.038675  8.547660  0.002402  0.005951 30.645438
294  0.302469 -0.000606  0.099622  0.041157  6.986604  0.003256  0.006590 31.010242
300  0.308642 -0.000757  0.099754  0.043473  6.232083  0.003905  0.006985 31.352801
306  0.314815 -0.000923  0.099922  0.045656  5.791332  0.004409  0.007253 31.632539
312  0.320988 -0.001104  0.100103  0.047747  8.068358  0.002614  0.006162 30.835197
318  0.327160 -0.001299  0.100324  0.049748  6.292554  0.004000  0.006978 31.770431
324  0.333333 -0.001508  0.100578  0.051663  5.747466  0.004654  0.007300 32.078245
330  0.339506 -0.001730  0.100866  0.053505  5.495239  0.005014  0.007462 32.220316
336  0.345679 -0.001965  0.101187  0.055291  5.368468  0.005217  0.007544 32.288867
342  0.351852 -0.002213  0.101547  0.057010  5.314469  0.005316  0.007574 32.314622
348  0.358025 -0.002473  0.101942  0.058685  5.302796  0.005348  0.007572 32.306556
354  0.364198 -0.002745  0.102375  0.060306  5.318392  0.005331  0.007549 32.270145
360  0.370370 -0.003029  0.102847  0.061884  5.348890  0.005282  0.007513 32.207020
366  0.376543 -0.003324  0.103359  0.063418  5.382520  0.005216  0.007474 32.117026
372  0.382716 -0.003629  0.103910  0.064918  5.406059  0.005148  0.007440 31.998562
378  0.388889 -0.003945  0.104503  0.066379  5.408383  0.005090  0.007419 31.852321
384  0.395062 -0.004270  0.105133  0.067810  5.373824  0.005060  0.007422 31.675381
390  0.401235 -0.004605  0.105808  0.069201  5.298447  0.005064  0.007452 31.472444
396  0.407407 -0.004949  0.106516  0.070571  5.172246  0.005116  0.007519 31.240769
402  0.413580 -0.005302  0.107271  0.071901  5.009223  0.005209  0.007615 30.990268
408  0.419753 -0.005664  0.108060  0.073210  4.812408  0.005345  0.007743 30.719408
414  0.425926 -0.006034  0.108888  0.074494  4.597254  0.005515  0.007893 30.434098
420  0.432099 -0.006411  0.109749  0.075756  4.374463  0.005709  0.008062 30.137044
426  0.438272 -0.006796  0.110641  0.076993  4.152449  0.005921  0.008244 29.830656
432  0.444444 -0.007188  0.111576  0.078207  3.941798  0.006139  0.008429 29.522276
438  0.450617 -0.007586  0.112545  0.079399  3.743623  0.006360  0.008615 29.212114
444  0.456790 -0.007991  0.113548  0.080574  3.558910  0.006581  0.008801 28.901193
450  0.462963 -0.008403  0.114583  0.081727  3.388530  0.006797  0.008983 28.591460
456  0.469136 -0.008820  0.115651  0.082859  3.232432  0.007007  0.009161 28.284425
462  0.475309 -0.009242  0.116752  0.083976  3.089832  0.007209  0.009332 27.980845
468  0.481481 -0.009670  0.117870  0.085073  2.957928  0.007406  0.009499 27.677463
474  0.487654 -0.010103  0.119024  0.086159  2.838531  0.007591  0.009658 27.379981
480  0.493827 -0.010541  0.120205  0.087224  2.729871  0.007765  0.009809 27.087305
486  0.500000 -0.010983  0.121410  0.088275  2.630440  0.007930  0.009952 26.798259
492  0.506173 -0.011430  0.122640  0.089314  2.539971  0.008084  0.010088 26.514503
498  0.512346 -0.011881  0.123893  0.090337  2.457355  0.008227  0.010215 26.235400
504  0.518519 -0.012335  0.125169  0.091348  2.382088  0.008359  0.010335 25.961795
510  0.524691 -0.012793  0.126468  0.092346  2.313427  0.008480  0.010446 25.693672
516  0.530864 -0.013255  0.127786  0.093329  2.250743  0.008591  0.010550 25.431150
522  0.537037 -0.013719  0.129126  0.094301  2.193615  0.008691  0.010646 25.174915
528  0.543210 -0.014187  0.130483  0.095263  2.141398  0.008781  0.010735 24.924628
534  0.549383 -0.014658  0.131859  0.096211  2.093669  0.008862  0.010817 24.680590
540  0.555556 -0.015131  0.133250  0.097149  2.049899  0.008934  0.010892 24.442461
546  0.561728 -0.015607  0.134659  0.098077  2.009971  0.008998  0.010960 24.211475
552  0.567901 -0.016085  0.136083  0.098994  1.973462  0.009053  0.011023 23.987438
558  0.574074 -0.016565  0.137524  0.099903  1.940110  0.009101  0.011079 23.770693
564  0.580247 -0.017047  0.138978  0.100799  1.909524  0.009141  0.011129 23.560793
570  0.586420 -0.017531  0.140444  0.101688  1.881455  0.009176  0.011175 23.357801
576  0.592593 -0.018017  0.141925  0.102566  1.855799  0.009205  0.011215 23.162354
582  0.598765 -0.018504  0.143418  0.103435  1.832322  0.009228  0.011251 22.974340
588  0.604938 -0.018993  0.144923  0.104299  1.810782  0.009247  0.011283 22.793445
594  0.611111 -0.019483  0.146441  0.105150  1.791131  0.009261  0.011310 22.620253
600  0.617284 -0.019974  0.147969  0.105995  1.773095  0.009271  0.011334 22.454030
606  0.623457 -0.020467  0.149506  0.106832  1.756547  0.009278  0.011354 22.294713
612  0.629630 -0.020960  0.151054  0.107660  1.741451  0.009282  0.011371 22.142649
618  0.635802 -0.021454  0.152611  0.108481  1.727658  0.009282  0.011385 21.997473
624  0.641975 -0.021949  0.154182  0.109296  1.715280  0.009280  0.011395 21.860211
630  0.648148 -0.022444  0.155758  0.110101  1.703877  0.009276  0.011403 21.728679
636  0.654321 -0.022940  0.157340  0.110900  1.693462  0.009269  0.011408 21.603193
642  0.660494 -0.023436  0.158936  0.111693  1.684291  0.009260  0.011411 21.485383
648  0.666667 -0.023933  0.160537  0.112477  1.675957  0.009249  0.011411 21.373053
654  0.672840 -0.024430  0.162148  0.113255  1.668681  0.009237  0.011409 21.267553
660  0.679012 -0.024927  0.163765  0.114025  1.662251  0.009222  0.011404 21.167679
666  0.685185 -0.025424  0.165390  0.114790  1.656725  0.009205  0.011398 21.073756
